date,day_of_week,expiry_type,chart,sensex_open,sensex_high,sensex_low,sensex_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy
2025-09-18,Thursday,weekly,▇↓▁↑█↓▆ 📉,83108.92,83141.21,82704.92,83013.96,10.25,9.89,0.52,0.52,-0.11,0.04,-0.49,1.01,0.01,Overestimated
2025-09-25,Thursday,monthly,▆↓▁↑█↓▂ 📉,81574.31,81840.73,81092.89,81159.68,10.52,10.78,0.56,0.92,-0.51,0.33,-0.59,1.62,0.35,Overestimated
2025-10-02,Thursday,weekly,▁↓▁↑█↓▇ 📈,80173.24,81068.43,80159.9,80983.31,11.07,10.29,0.54,1.13,1.01,1.12,-0.02,2.1,0.59,Underestimated
2025-10-09,Thursday,weekly,▄↓▁↑█↓▇ 📈,81900.0,82247.73,81667.68,82172.1,10.31,10.12,0.53,0.71,0.33,0.42,-0.28,1.34,0.18,Overestimated
2025-10-16,Thursday,weekly,▁↓▁↑█↓▇ 📈,82794.79,83615.48,82791.35,83467.66,10.53,10.87,0.57,1.0,0.81,0.99,-0.0,1.75,0.43,Overestimated
2025-10-23,Thursday,weekly,▇↓▁↑█↓▂ 📉,85154.15,85290.06,84445.25,84556.4,11.3,11.73,0.61,0.99,-0.7,0.16,-0.83,1.62,0.38,Overestimated
2025-10-30,Thursday,monthly,▆↓▁↑█↓▂ 📉,84750.9,84906.95,84312.65,84404.46,11.97,12.07,0.63,0.7,-0.41,0.18,-0.52,1.11,0.07,Overestimated
2025-11-06,Thursday,weekly,▄↓▁↑█↓▂ 📉,83516.69,83846.35,83237.65,83311.01,12.65,12.41,0.65,0.73,-0.25,0.39,-0.33,1.12,0.08,Overestimated
2025-11-13,Thursday,weekly,▄↓▁↑█↓▃ 📉,84525.89,84919.43,84253.05,84478.67,12.11,12.16,0.64,0.79,-0.06,0.47,-0.32,1.24,0.15,Overestimated
2025-11-20,Thursday,weekly,▄↓▁↑█↓▆ 📈,85470.92,85801.7,85201.22,85632.68,11.97,12.14,0.64,0.7,0.19,0.39,-0.32,1.11,0.07,Overestimated
2025-11-27,Thursday,monthly,▄↓▁↑█↓▄ 📉,85745.05,86055.86,85473.85,85720.38,11.97,11.79,0.62,0.68,-0.03,0.36,-0.32,1.1,0.06,Overestimated
2025-12-04,Thursday,weekly,▁↓▁↑█↓▅ 📈,84987.56,85487.21,84949.98,85265.32,11.21,10.82,0.57,0.63,0.33,0.59,-0.04,1.12,0.07,Overestimated
2025-12-11,Thursday,weekly,▄↓▁↑█↓▇ 📈,84456.75,84906.93,84150.19,84818.13,10.91,10.4,0.54,0.9,0.43,0.53,-0.36,1.65,0.35,Overestimated
