date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2022-09-22,Thursday,weekly,Down to Up,Top to Down,Mismatch,19.33,18.82,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-86340,Bearish,-131571,Strong Bearish,17682.25,17635.95,14:10,17722.65,0.489,0.262
2022-09-29,Thursday,monthly,Top to Down,Down to Up,Mismatch,22.1,21.3,High (>20),FII Hedging (bought puts >20K),PRO Confident (sold puts >20K),15092,Neutral,-12900,Neutral,16814.25,16842.9,15:05,16791.9,0.304,0.17
2022-10-06,Thursday,weekly,Top to Down,Top to Down,Match,19.57,19.32,Medium (15-20),FII Neutral,PRO Neutral,0,Neutral,0,Neutral,17372.5,17317.0,14:00,17387.5,0.405,0.319
2022-10-13,Thursday,weekly,Top to Down,Down to Up,Mismatch,20.18,20.29,High (>20),FII Mildly Bullish,PRO Confident (sold puts >20K),62873,Bullish,335990,Strong Bullish,17007.45,17017.8,15:05,16992.15,0.151,0.061
2022-10-20,Thursday,weekly,Down to Up,Down to Up,Match,17.49,17.23,Medium (15-20),FII Hedging (bought puts >20K),PRO Confident (sold puts >20K),-86077,Bearish,-25188,Neutral,17484.95,17565.25,14:00,17468.75,0.552,0.459
2022-10-27,Thursday,monthly,Top to Down,Down to Up,Mismatch,16.88,16.6,Medium (15-20),FII Neutral,PRO Neutral,0,Neutral,0,Neutral,17696.1,17758.9,14:40,17654.7,0.59,0.355
2022-11-03,Thursday,weekly,Down to Up,Down to Up,Match,16.66,15.94,Medium (15-20),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-57147,Bearish,-113830,Strong Bearish,18015.75,18048.05,14:25,18008.65,0.219,0.179
2022-11-10,Thursday,weekly,Top to Down,Down to Up,Mismatch,15.92,15.57,Medium (15-20),FII Hedging (bought puts >20K),PRO Mildly Bearish,-77750,Bearish,-86501,Bearish,17999.35,18036.8,14:20,17969.6,0.374,0.208
2022-11-17,Thursday,weekly,Top to Down,Top to Down,Match,15.1,14.88,Medium (15-20),FII Mildly Bullish,PRO Mildly Bearish,53632,Bullish,-31737,Mildly Bearish,18400.25,18333.95,14:15,18406.1,0.392,0.36
2022-11-24,Thursday,monthly,Down to Up,Down to Up,Match,14.04,13.48,Low (<15),FII Hedging (bought puts >20K),PRO Mildly Bearish,-22070,Neutral,-73025,Bearish,18381.95,18510.85,14:00,18379.85,0.713,0.701
2022-12-01,Thursday,weekly,Top to Down,Down to Up,Mismatch,13.81,13.36,Low (<15),FII Bullish (bought fut + sold puts),PRO Confident (sold puts >20K),106359,Strong Bullish,268890,Strong Bullish,18792.45,18800.95,14:00,18790.1,0.058,0.045
2022-12-08,Thursday,weekly,Down to Up,Down to Up,Match,14.08,13.4,Low (<15),FII Bearish (sold fut >10K),PRO Mildly Bearish,-44357,Mildly Bearish,-137182,Strong Bearish,18586.05,18614.4,14:00,18578.6,0.193,0.153
